CrimeID,CrimeCategory,CrimeType,Latitude,Longitude,CrimeDate,CrimeTime,Severity
SPE-210619-912,Traffic Violation,Speeding,28.658615440582217,77.27702887796637,2021-06-19,18:24:17,2
VEH-210117-992,Kidnapping,Vehicle Abduction,28.70828417537783,77.26373672353225,2021-01-17,15:47:03,5
VEH-211127-375,Kidnapping,Vehicle Abduction,28.730090473224823,77.28197719061107,2021-11-27,17:28:45,5
PED-210102-260,Assault,Pedestrian Attack,28.724027767084767,77.29324422572627,2021-01-02,01:44:01,5
HIG-210401-743,Kidnapping,Highway Kidnapping,28.672259139065172,77.29696582749489,2021-04-01,10:16:27,5
DAN-210126-992,Illegal Street Racing,Dangerous Driving,28.67944863070944,77.337250290376,2021-01-26,16:35:26,4
ILL-210702-747,Obstruction,Illegal Vending,28.709419210018975,77.33440191371257,2021-07-02,11:55:09,1
DRA-211121-162,Illegal Street Racing,Drag Racing,28.69691968419464,77.32398911087193,2021-11-21,05:03:59,3
DRA-210405-092,Illegal Street Racing,Drag Racing,28.714638575873714,77.28984234660729,2021-04-05,10:34:22,3
VEH-210924-031,Vandalism,Vehicle Damage,28.656191850652675,77.27307693317414,2021-09-24,14:52:09,2
STR-210708-641,Loitering and Harassment,Street Harassment,28.647070695583796,77.27676733143386,2021-07-08,21:59:08,3
VEH-211005-582,Kidnapping,Vehicle Abduction,28.673044535563896,77.27290132917769,2021-10-05,22:19:53,5
VEH-210605-425,Kidnapping,Vehicle Abduction,28.695462022383,77.26936030646704,2021-06-05,10:11:46,5
INJ-211021-746,Hit-and-Run,Injury Escape,28.66464732029783,77.3318785230413,2021-10-21,04:14:13,5
MUG-210220-216,Robbery,Mugging,28.68966282167484,77.26368514674996,2021-02-20,20:29:55,4
INS-211105-699,Fraud,Insurance Scam,28.695009371426405,77.32936223539065,2021-11-05,09:50:52,3
INS-210805-831,Fraud,Insurance Scam,28.715087678581757,77.31291996890917,2021-08-05,07:13:28,3
TOL-210911-018,Fraud,Toll Booth Fraud,28.661604841723307,77.27014191441702,2021-09-11,19:02:03,2
PIC-211018-151,Theft,Pickpocketing,28.71153046866469,77.28109177201854,2021-10-18,07:17:22,2
INJ-210713-603,Hit-and-Run,Injury Escape,28.682572344040196,77.25867398623598,2021-07-13,15:28:28,5
HUM-210925-965,Drug Trafficking,Human Trafficking,28.662505989129325,77.26841358066594,2021-09-25,06:12:09,5
STA-210419-697,Loitering and Harassment,Stalking,28.652821722473984,77.28871300408679,2021-04-19,09:16:09,4
PAR-210802-755,Robbery,Parking Lot Robbery,28.723668407932017,77.27666457661668,2021-08-02,10:47:04,4
HIG-211108-326,Kidnapping,Highway Kidnapping,28.692400176414896,77.25842591901474,2021-11-08,23:57:53,5
HIG-210614-597,Kidnapping,Highway Kidnapping,28.688129090543235,77.32908665865199,2021-06-14,10:22:03,5
ILL-211114-171,Obstruction,Illegal Vending,28.647865432529567,77.24471348435986,2021-11-14,12:47:11,1
PUB-210503-005,Drug Trafficking,Public Intoxication,28.693617096202296,77.30370064897413,2021-05-03,23:06:08,1
STA-210921-787,Loitering and Harassment,Stalking,28.725881871095226,77.28153537502914,2021-09-21,11:02:42,4
DAN-210906-773,Illegal Street Racing,Dangerous Driving,28.731792239838715,77.29132575954237,2021-09-06,22:01:37,4
REC-210126-246,Traffic Violation,Reckless Driving,28.724960572042043,77.31352949314748,2021-01-26,02:55:49,3
HUM-210519-806,Drug Trafficking,Human Trafficking,28.683129072273072,77.2795465601204,2021-05-19,01:04:49,5
ILL-210213-884,Obstruction,Illegal Vending,28.682782175739007,77.28468311103681,2021-02-13,16:13:15,1
VEH-211119-213,Vandalism,Vehicle Damage,28.71384122395102,77.28061279906244,2021-11-19,21:59:30,2
DRU-210207-485,Traffic Violation,Drunk Driving,28.686631578787807,77.29208540085708,2021-02-07,03:37:53,4
INJ-210923-682,Hit-and-Run,Injury Escape,28.658689294444862,77.28189333944034,2021-09-23,16:39:19,5
INS-210511-086,Fraud,Insurance Scam,28.721727577216466,77.31423268013853,2021-05-11,17:29:33,3
VEH-211027-861,Theft,Vehicle Theft,28.695384671406465,77.31405452609785,2021-10-27,05:41:23,4
INS-210306-146,Fraud,Insurance Scam,28.65120705098347,77.28244517643273,2021-03-06,06:44:52,3
INJ-210419-793,Hit-and-Run,Injury Escape,28.687370798561922,77.26663313694029,2021-04-19,21:03:53,5
RAP-210618-759,Sexual Crime,Rape,28.64684233772751,77.29617779375441,2021-06-18,14:51:56,5
TOL-210517-490,Fraud,Toll Booth Fraud,28.686265335154243,77.27802479341902,2021-05-17,19:21:58,2
ILL-210320-777,Obstruction,Illegal Vending,28.685219273226274,77.24998909198447,2021-03-20,22:08:28,1
VEH-210914-460,Kidnapping,Vehicle Abduction,28.70675572996462,77.32353936614541,2021-09-14,00:17:26,5
REC-210906-398,Traffic Violation,Reckless Driving,28.699124041002925,77.27699751688105,2021-09-06,08:11:19,3
TAR-211022-510,Hate Crimes,Targeted Assault,28.67322360375091,77.27389711058885,2021-10-22,00:43:02,5
REC-211116-231,Traffic Violation,Reckless Driving,28.68618490882829,77.31891331814182,2021-11-16,07:30:08,3
VEH-210706-283,Vandalism,Vehicle Damage,28.71860286165955,77.29076391564308,2021-07-06,06:04:56,2
TAR-210817-054,Hate Crimes,Targeted Assault,28.676881542008815,77.26488283674095,2021-08-17,01:10:18,5
BLO-210613-880,Obstruction,Blocking Pedestrian Path,28.7247360172681,77.31146478562124,2021-06-13,18:53:18,1
PUB-211117-502,Vandalism,Public Property Destruction,28.67251059319888,77.31038834709264,2021-11-17,15:15:03,3
